task_order,num_stim,match,corr_key,match_num,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.started,stim_resp.stopped,stim_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
OB-16571317868141544.csv,8,1,right,,0,3,3,3,0,11,11,11,284.32645650000086,284.8264699000001,right,1,284.32645650000086,284.32645650000086,0.6084704999993846,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,8,1,right,,0,3,3,3,0,12,12,12,287.8265143000008,288.3265143000008,right,1,287.8265143000008,287.8265143000008,0.42063430000052904,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,9,0,left,,0,3,3,3,0,13,13,13,291.3265803000004,291.8265667000005,left,1,291.3265803000004,291.3265803000004,0.5204554000001735,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,8,0,left,,0,3,3,3,0,14,14,14,294.82662620000065,295.32663010000033,right,0,294.82662620000065,294.82662620000065,0.42839879999974073,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,6,0,left,,0,3,3,3,0,15,15,15,298.3266848000003,298.82668600000034,left,1,298.3266848000003,298.3266848000003,0.5602749999998196,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,3,0,left,,0,3,3,3,0,16,16,16,301.8266914000005,302.32674080000015,left,1,301.8266914000005,301.8266914000005,0.5322084999997969,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,6,0,left,,0,3,3,3,0,17,17,17,305.3267820000001,305.82678680000026,left,1,305.3267820000001,305.3267820000001,0.6161554999998771,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,6,1,right,,0,3,3,3,0,18,18,18,308.82688880000023,309.32684620000055,right,1,308.82688880000023,308.82688880000023,0.4760326999994504,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,0,0,left,,0,3,3,3,0,19,19,19,312.3268919000002,312.82690320000074,left,1,312.3268919000002,312.3268919000002,0.48001529999964987,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,,,,,0,3,3,3,,,,,,,,,,,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,3,0,left,,0,4,4,4,0,0,0,0,320.36035730000003,320.8603268000006,None,0,320.36035730000003,None,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,2,0,left,,0,4,4,4,0,1,1,1,323.8604165000006,324.36041360000036,None,0,323.8604165000006,323.8604165000006,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,7,0,left,,0,4,4,4,0,2,2,2,327.3604626000006,327.86046870000064,left,1,327.3604626000006,327.3604626000006,0.5346012999998493,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,4,0,left,,0,4,4,4,0,3,3,3,330.8605384000002,331.36051280000083,left,1,330.8605384000002,330.8605384000002,0.5704690000002302,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,7,1,right,,0,4,4,4,0,4,4,4,334.36056310000004,334.8605804000008,right,1,334.36056310000004,334.36056310000004,0.5743658000001233,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,4,1,right,,0,4,4,4,0,5,5,5,337.8606185000008,338.3606260000006,right,1,337.8606185000008,337.8606185000008,0.5306080999998812,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,3,0,left,,0,4,4,4,0,6,6,6,341.360678,341.86067040000034,left,1,341.360678,341.360678,0.5505999999995765,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,2,0,left,,0,4,4,4,0,7,7,7,344.86072800000056,345.3607406000001,left,1,344.86072800000056,344.86072800000056,0.586490099999537,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,3,1,right,,0,4,4,4,0,8,8,8,348.36078390000057,348.86077790000036,right,1,348.36078390000057,348.36078390000057,0.798157899999751,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,2,1,right,,0,4,4,4,0,9,9,9,351.8608410000006,352.36084070000015,right,1,351.8608410000006,351.8608410000006,0.4503214000005755,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,3,1,right,,0,4,4,4,0,10,10,10,355.36086890000024,355.86089000000084,right,1,355.36086890000024,355.36086890000024,0.3901892999992924,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,3,0,left,,0,4,4,4,0,11,11,11,358.8609312000008,359.36097380000047,right,0,358.8609312000008,358.8609312000008,0.42594980000012583,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,6,0,left,,0,4,4,4,0,12,12,12,362.3609956,362.86100570000053,left,1,362.3609956,362.3609956,1.3261587999995754,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,7,0,left,,0,4,4,4,0,13,13,13,365.8610483000002,366.36103320000075,left,1,365.8610483000002,365.8610483000002,0.6738594999997076,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,2,0,left,,0,4,4,4,0,14,14,14,369.3610989000008,369.86111580000033,left,1,369.3610989000008,369.3610989000008,0.5819817999999941,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,3,0,left,,0,4,4,4,0,15,15,15,372.8611505000008,373.36116010000023,left,1,372.8611505000008,372.8611505000008,0.5538653999992675,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,6,0,left,,0,4,4,4,0,16,16,16,376.3612185000002,376.86120930000016,left,1,376.3612185000002,376.3612185000002,0.8937383000002228,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,3,1,right,,0,4,4,4,0,17,17,17,379.86127080000006,380.3612363000002,right,1,379.86127080000006,379.86127080000006,0.35397459999967396,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,6,1,right,,0,4,4,4,0,18,18,18,383.3613266000002,383.8613228000004,right,1,383.3613266000002,383.3613266000002,0.4374982999997883,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,3,1,right,,0,4,4,4,0,19,19,19,386.86134500000026,387.36139710000043,right,1,386.86134500000026,386.86134500000026,0.37761199999931705,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-1657131787163465.csv,,,,,0,4,4,4,,,,,,,,,,,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317867791038.csv,2,0,left,,0,5,5,5,0,0,0,0,394.37817300000006,394.8781555000005,None,0,394.37817300000006,None,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317867791038.csv,2,1,right,,0,5,5,5,0,1,1,1,397.8782473000001,398.3781987000002,right,1,397.8782473000001,397.8782473000001,0.4971832999999606,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
